OBJECTID,ID,CDMUN,NMMUN,SGUF,ISH,TPMAN,CSMAN,TPSIS,TPOPE,SHAPE_Length,SHAPE_Area
3240,3240,3304409,Rio Claro,RJ,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.85464286601902,0.07446519727661
3241,3241,3304508,Rio das Flores,RJ,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.17875111940207,0.0419190978524925
3242,3242,3304524,Rio das Ostras,RJ,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.948236001409151,0.0200071838901665
3243,3243,3304557,Rio de Janeiro,RJ,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,3.80178569764937,0.105662312791118
3244,3244,3304607,Santa Maria Madalena,RJ,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.82595862255288,0.0709091782236177
3245,3245,3304706,Santo Antônio de Pádua,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.52672159673991,0.0526322010790973
3246,3246,3304755,São Francisco de Itabapoana,RJ,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.14957517526761,0.0973941580666631
3247,3247,3304805,São Fidélis,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.61666464585109,0.0902932147342114
3248,3248,3304904,São Gonçalo,RJ,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,0.833411487618734,0.0218295899535853
3249,3249,3305000,São João da Barra,RJ,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.953736442834506,0.0395060507466267
3250,3250,3305109,São João de Meriti,RJ,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,0.235789076612957,0.00309687031616315
3251,3251,3305133,São José de Ubá,RJ,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.866865078799399,0.0217439487041316
3252,3252,3305158,São José do Vale do Rio Preto,RJ,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.06375109270114,0.0192786236618216
3253,3253,3305208,São Pedro da Aldeia,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Concessionária Privada,0.865645735992561,0.0292398469795574
3254,3254,3305307,São Sebastião do Alto,RJ,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.63459073515306,0.0347111622212157
3255,3255,3305406,Sapucaia,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.2952092283045,0.0472932759254927
3256,3256,3305505,Saquarema,RJ,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Concessionária Privada,0.887557430411328,0.0309871035864988
3257,3257,3305554,Seropédica,RJ,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,0.771230510322381,0.0233158755325323
3258,3258,3305604,Silva Jardim,RJ,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Concessionária Privada,1.60775044417582,0.0823388690908477
3259,3259,3305703,Sumidouro,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.25656755914983,0.0361822319771825
3260,3260,3305752,Tanguá,RJ,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.795167782077742,0.0125758316489804
3261,3261,3305802,Teresópolis,RJ,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.4545816742171,0.067781227896097
3262,3262,3305901,Trajano de Moraes,RJ,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.48768893744278,0.0517465536164016
3263,3263,3306008,Três Rios,RJ,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.18386509185131,0.0282591179080834
3264,3264,3306107,Valença,RJ,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.47376354059485,0.113945485483862
3265,3265,3306156,Varre-Sai,RJ,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.889545089985517,0.0175303315052255
3266,3266,3306206,Vassouras,RJ,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.58740309939264,0.0470001037600122
3267,3267,3306305,Volta Redonda,RJ,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.8611128907805,0.015981001380157
3268,3268,3500105,Adamantina,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.20271954218947,0.0359271725425589
3269,3269,3500204,Adolfo,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.833896253496912,0.0183695506793439
3270,3270,3500303,Aguaí,SP,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.4075200040069,0.0415171418812152
3271,3271,3500402,Águas da Prata,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.63957573494961,0.0124702878599314
3272,3272,3500501,Águas de Lindóia,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.381990936121314,0.00527583042339508
3273,3273,3500550,Águas de Santa Bárbara,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.10374219068042,0.0355872327147771
3274,3274,3500600,Águas de São Pedro,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.0843867723245108,0.000317232736231374
3275,3275,3500709,Agudos,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.04152229051062,0.0848837494560761
3276,3276,3500758,Alambari,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.695510307167633,0.0141137886341463
3277,3277,3500808,Alfredo Marcondes,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.553634226034696,0.0103952749874412
3278,3278,3500907,Altair,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.991231723829441,0.0271093817127543
3279,3279,3501004,Altinópolis,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.94506713667605,0.0807092207672715
3280,3280,3501103,Alto Alegre,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.910227770693993,0.0277878615910958
3281,3281,3501152,Alumínio,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.503543602040385,0.00739735243075476
3282,3282,3501202,Álvares Florence,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.02298313867349,0.0313398200014276
3283,3283,3501301,Álvares Machado,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.04474419050063,0.0304317154437623
3284,3284,3501400,Álvaro de Carvalho,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.683583749988147,0.0134467970032802
3285,3285,3501509,Alvinlândia,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.471313776223043,0.00744667427974858
3286,3286,3501608,Americana,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.667726422350862,0.0117710794490092
3287,3287,3501707,Américo Brasiliense,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.591131929020689,0.0107180415714579
3288,3288,3501806,Américo de Campos,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.01548474061762,0.0218676100955304
3289,3289,3501905,Amparo,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.23843528508844,0.0391378253308565
3290,3290,3502002,Analândia,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.849957937913563,0.0285305891467655
3291,3291,3502101,Andradina,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.5128043824574,0.0836739604048794
3292,3292,3502200,Angatuba,SP,Média,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.21530605031279,0.0907697676352645
3293,3293,3502309,Anhembi,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.67000690047953,0.0647801575757329
3294,3294,3502408,Anhumas,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.919879490264423,0.0281303308793629
3295,3295,3502507,Aparecida,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.628945543973839,0.0106573393555858
3296,3296,3502606,Aparecida d'Oeste,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.67390975245741,0.0154980516923772
3297,3297,3502705,Apiaí,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.37904582308153,0.0867339959131521
3298,3298,3502754,Araçariguama,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.840437314886111,0.0128298074092115
3299,3299,3502804,Araçatuba,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,2.28363197168687,0.101465625839307
3300,3300,3502903,Araçoiaba da Serra,SP,Máxima,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,0.973914666550365,0.0225782557514976
3301,3301,3503000,Aramina,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.776567666717751,0.0175238759744223
3302,3302,3503109,Arandu,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.686529753691669,0.0252143450175156
3303,3303,3503158,Arapeí,SP,Máxima,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.795159019448146,0.0137870416905874
3304,3304,3503208,Araraquara,SP,Alta,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.88057162999551,0.0876486012295428
3305,3305,3503307,Araras,SP,Baixa,Preponderantemente Superficial,Manancial com Alta Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.26527837612789,0.0565305641825707
3306,3306,3503356,Arco-Íris,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.913470396620041,0.0231305917244948
3307,3307,3503406,Arealva,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.00337500050656,0.0442961597956577
3308,3308,3503505,Areias,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.20808430720086,0.0268203088457072
3309,3309,3503604,Areiópolis,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.589027094363356,0.00754640661217439
3310,3310,3503703,Ariranha,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.637836322735193,0.0115353021170397
3311,3311,3503802,Artur Nogueira,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.687483343681613,0.0156307369720644
3312,3312,3503901,Arujá,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.518828336700157,0.00849400487627137
3313,3313,3503950,Aspásia,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.383027511625937,0.00599512576935198
3314,3314,3504008,Assis,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.1026256759768,0.0404531495413008
3315,3315,3504107,Atibaia,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.35711163137719,0.0421842196655853
3316,3316,3504206,Auriflama,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.04026616803765,0.0376583231068043
3317,3317,3504305,Avaí,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.15887040169698,0.0473480913224075
3318,3318,3504404,Avanhandava,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.984501766929747,0.0294844281285008
3319,3319,3504503,Avaré,SP,Alta,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.85327644085208,0.106900277430685
3320,3320,3504602,Bady Bassitt,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.485083026643627,0.0095838284169651
3321,3321,3504701,Balbinos,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.413276202093357,0.00800812761084189
3322,3322,3504800,Bálsamo,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.545257577258816,0.0129958082753523
3323,3323,3504909,Bananal,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.4237438295722,0.0541891879990656
3324,3324,3505005,Barão de Antonina,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.877243524193719,0.0135460479701566
3325,3325,3505104,Barbosa,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.67575582374093,0.017861205938515
3326,3326,3505203,Bariri,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.10221567110851,0.0388840832352881
3327,3327,3505302,Barra Bonita,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.581949133910667,0.0131730258428629
3328,3328,3505351,Barra do Chapéu,SP,Máxima,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.25814621337315,0.0361198625220218
3329,3329,3505401,Barra do Turvo,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.24625900783857,0.0900329366690716
3330,3330,3505500,Barretos,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.8518774560508,0.135628183213087
3331,3331,3505609,Barrinha,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.811426487044097,0.0127048473179702
3332,3332,3505708,Barueri,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.549846342837133,0.00580816818021762
3333,3333,3505807,Bastos,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.608134291654623,0.0149422281121789
3334,3334,3505906,Batatais,SP,Alta,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.61139502368902,0.073735797880453
3335,3335,3506003,Bauru,SP,Média,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.36594335461863,0.0584963120470282
3336,3336,3506102,Bebedouro,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.29322372590442,0.0593266660336522
3337,3337,3506201,Bento de Abreu,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.01176207525959,0.0262655152711637
3338,3338,3506300,Bernardino de Campos,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.825415853109353,0.0215094197832781
3339,3339,3506359,Bertioga,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.4655186021917,0.0435369544369375
3340,3340,3506409,Bilac,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.627360574709739,0.0137667469871411
3341,3341,3506508,Birigui,SP,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.24906134790388,0.0461239462846802
3342,3342,3506607,Biritiba Mirim,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.10007733361712,0.0280846197671088
3343,3343,3506706,Boa Esperança do Sul,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.70492550028155,0.0603834686769332
3344,3344,3506805,Bocaina,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.00915802940586,0.0318509589220288
3345,3345,3506904,Bofete,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.05779689709008,0.0576156874451396
3346,3346,3507001,Boituva,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,1.01471742123493,0.0219730533433666
3347,3347,3507100,Bom Jesus dos Perdões,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.503092127239985,0.00955646375571556
3348,3348,3507159,Bom Sucesso de Itararé,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.718069190993456,0.0118814019019227
3349,3349,3507209,Borá,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.549138204947994,0.0104206630548969
3350,3350,3507308,Boracéia,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.487513512813317,0.0106918784434331
3351,3351,3507407,Borborema,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.35981333880252,0.0481704169293346
3352,3352,3507456,Borebi,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.04783033945441,0.030579470823273
3353,3353,3507506,Botucatu,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.4055820417156,0.13045762482493
3354,3354,3507605,Bragança Paulista,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.32420412643065,0.0451265173755354
3355,3355,3507704,Braúna,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.672771886512385,0.0170175989792847
3356,3356,3507753,Brejo Alegre,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.458347730044171,0.00919196519252752
3357,3357,3507803,Brodowski,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.866601098206268,0.0241978504708037
3358,3358,3507902,Brotas,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.91632417322032,0.0965051965539413
3359,3359,3508009,Buri,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.14531588241214,0.105966415205448
3360,3360,3508108,Buritama,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.883937054990023,0.0284091680975495
3361,3361,3508207,Buritizal,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.878953268581531,0.0230273005760961
3362,3362,3508306,Cabrália Paulista,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,0.763599775804922,0.0210590914523562
3363,3363,3508405,Cabreúva,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.955331182495468,0.0229709725815577
3364,3364,3508504,Caçapava,SP,Alta,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.980762170734273,0.0325238896842708
3365,3365,3508603,Cachoeira Paulista,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.18044508368821,0.0253109589883095
3366,3366,3508702,Caconde,SP,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,1.1286099267219,0.0408202579521293
3367,3367,3508801,Cafelândia,SP,Alta,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.7522874333905,0.0803367282835709
3368,3368,3508900,Caiabu,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.885485915692224,0.0221496501472201
3369,3369,3509007,Caieiras,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.638250268582509,0.00862363612457544
3370,3370,3509106,Caiuá,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.51659695858951,0.0481371724791266
3371,3371,3509205,Cajamar,SP,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.634935576826574,0.0116017322460765
3372,3372,3509254,Cajati,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.249562106944,0.0405647262858073
3373,3373,3509304,Cajobi,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.672294949051618,0.0153574217204521
3374,3374,3509403,Cajuru,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,1.52396525887165,0.0574470842481419
3375,3375,3509452,Campina do Monte Alegre,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.889083961804529,0.016320886033106
3376,3376,3509502,Campinas,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.87824056747401,0.0699244174171064
3377,3377,3509601,Campo Limpo Paulista,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.434283967246386,0.00700463365448537
3378,3378,3509700,Campos do Jordão,SP,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,0.90147230587587,0.0255146757482225
3379,3379,3509809,Campos Novos Paulista,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.08722639066009,0.042527809398322
3380,3380,3509908,Cananéia,SP,Alta,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.80262010617113,0.110667116678083
3381,3381,3509957,Canas,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.460725212325407,0.0046819576714943
3382,3382,3510005,Cândido Mota,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.21429487787864,0.052404746189274
3383,3383,3510104,Cândido Rodrigues,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.392914706803609,0.00617241697957471
3384,3384,3510153,Canitar,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.383836442717769,0.00506144115316489
3385,3385,3510203,Capão Bonito,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,3.03955463663673,0.145585071391616
3386,3386,3510302,Capela do Alto,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.732861997366046,0.015014654468374
3387,3387,3510401,Capivari,SP,Máxima,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.32158274941348,0.0284340628746042
3388,3388,3510500,Caraguatatuba,SP,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Integrado,Companhia Estadual,1.78898140998976,0.0429139062492615
3389,3389,3510609,Carapicuíba,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.297482228588068,0.00305497862467625
3390,3390,3510708,Cardoso,SP,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.2737976950613,0.0552026159480379
3391,3391,3510807,Casa Branca,SP,Máxima,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.85255621858087,0.0754790495788726
3392,3392,3510906,Cássia dos Coqueiros,SP,Máxima,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.76221293958285,0.0166806833788865
3393,3393,3511003,Castilho,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.75183105959501,0.0924839082332151
3394,3394,3511102,Catanduva,SP,Alta,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,0.979429538943069,0.0252666038254414
3395,3395,3511201,Catiguá,SP,Máxima,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.508456100045634,0.0128964182695593
3396,3396,3511300,Cedral,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.766998969730517,0.0171767569612706
3397,3397,3511409,Cerqueira César,SP,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.27645204044913,0.0450812817288232
3398,3398,3511508,Cerquilho,SP,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,0.643808960891022,0.0112718136150204
3399,3399,3511607,Cesário Lange,SP,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.860066325054008,0.0167954882752575
3400,3400,3511706,Charqueada,SP,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.694449601604123,0.0154359605904967
